Open,High,Low,Close,Date
180.56,182.69,179.59,181.42,10/02/2014 12:00:00 AM
181.62,184.16,180.96,183.96,11/02/2014 12:00:00 AM
184.23,189.03,184.09,188.56,12/02/2014 12:00:00 AM
190.1,190.1,181.82,182.36,13/02/2014 12:00:00 AM
183.43,184.76,180.86,183.96,14/02/2014 12:00:00 AM
184.26,186.69,182.02,184.93,17/02/2014 12:00:00 AM
184.96,186.03,181.02,184.76,18/02/2014 12:00:00 AM
184.76,186.43,183.89,185.86,19/02/2014 12:00:00 AM
184.16,186.03,183.96,184.39,20/02/2014 12:00:00 AM
184.16,185.99,184.09,184.69,21/02/2014 12:00:00 AM
184.76,189.09,184.66,188.13,24/02/2014 12:00:00 AM
189.09,189.53,186.36,188.13,25/02/2014 12:00:00 AM
187.49,190.33,185.49,189.39,26/02/2014 12:00:00 AM
188.66,195.33,188.66,194.46,28/02/2014 12:00:00 AM
194.03,196,191.53,193.33,03/03/2014 12:00:00 AM
193.43,198.63,192.8,197.3,04/03/2014 12:00:00 AM
198.13,202.2,198.13,200.27,05/03/2014 12:00:00 AM
201.43,206.77,200.73,206.1,06/03/2014 12:00:00 AM
206.1,212.11,203.77,210.41,07/03/2014 12:00:00 AM
209.7,217.34,206.77,212.84,10/03/2014 12:00:00 AM
212.64,216.57,211.24,215.11,11/03/2014 12:00:00 AM
214.11,214.61,210.44,211.41,12/03/2014 12:00:00 AM
210.11,218.11,210.11,216.41,13/03/2014 12:00:00 AM
213.94,219.04,213.94,215.24,14/03/2014 12:00:00 AM
215.44,221.24,214.41,216.61,18/03/2014 12:00:00 AM
217.38,218.61,208.77,209.64,19/03/2014 12:00:00 AM
209.64,211.81,206.1,210.41,20/03/2014 12:00:00 AM
210.97,212.64,204.14,204.77,21/03/2014 12:00:00 AM
204.77,205.97,204.6,205.47,22/03/2014 12:00:00 AM
207.24,214.74,207.24,214.24,24/03/2014 12:00:00 AM
206.9,214.44,204.5,213.51,25/03/2014 12:00:00 AM
213.31,218.58,212.37,216.88,26/03/2014 12:00:00 AM
214.37,221.31,212.34,219.71,27/03/2014 12:00:00 AM
221.44,222.58,217.68,218.94,28/03/2014 12:00:00 AM
219.84,223.58,211.07,212.57,31/03/2014 12:00:00 AM
214.11,217.78,213.47,215.84,01/04/2014 12:00:00 AM
216.98,220.71,214.94,220.08,02/04/2014 12:00:00 AM
